% Model:              Untitled.mph
% Version:            COMSOL 6.0.0.318
% Date:               Jul 26 2023, 17:28
% Table:              表格 1 - 系统矩阵 1
% 行                      列                        值
1                        1                        7.512899896800826E10
2                        1                        3.654970760233918E10
3                        1                        -1.647746818025456E10
4                        1                        -2.5455796353629173E10
5                        1                        2.7777777777777775E10
6                        1                        2.0639834881320987E9
7                        1                        3.72377020983832E10
8                        1                        -2.0639834881320925E9
9                        1                        -9.043687650498796E10
10                       1                        -8.943928448572418E9
11                       1                        -4.78500171998624E10
12                       1                        -8.599931200550402E9
13                       1                        -1.861025111799106E10
14                       1                        -8.599931200550396E9
15                       1                        3.3230134158926727E10
16                       1                        1.5049879600963196E10
1                        2                        3.654970760233918E10
2                        2                        7.512899896800827E10
3                        2                        -8.94392844857241E9
4                        2                        -9.043687650498796E10
5                        2                        -2.0639834881320915E9
6                        2                        3.72377020983832E10
7                        2                        2.063983488132101E9
8                        2                        2.777777777777777E10
9                        2                        -2.5455796353629177E10
10                       2                        -1.6477468180254562E10
11                       2                        -8.599931200550406E9
12                       2                        -1.861025111799105E10
13                       2                        -8.599931200550396E9
14                       2                        -4.7850017199862404E10
15                       2                        1.50498796009632E10
16                       2                        3.3230134158926735E10
1                        3                        -1.647746818025456E10
2                        3                        -8.94392844857241E9
3                        3                        1.0209838321293428E11
5                        3                        -1.6477468180254562E10
6                        3                        8.943928448572409E9
7                        3                        -1.8610251117991055E10
8                        3                        8.599931200550392E9
10                       3                        3.439972480220158E10
12                       3                        -3.439972480220158E10
13                       3                        -3.1922944616443047E10
15                       3                        -1.8610251117991062E10
16                       3                        -8.599931200550398E9
1                        4                        -2.5455796353629173E10
2                        4                        -9.043687650498796E10
4                        4                        1.9841761265909872E11
5                        4                        2.5455796353629173E10
6                        4                        -9.043687650498796E10
7                        4                        8.59993120055039E9
8                        4                        -4.78500171998624E10
9                        4                        3.43997248022016E10
11                       4                        -3.439972480220158E10
14                       4                        7.815617475060199E10
15                       4                        -8.5999312005504E9
16                       4                        -4.7850017199862404E10
1                        5                        2.7777777777777775E10
2                        5                        -2.0639834881320882E9
3                        5                        -1.6477468180254562E10
4                        5                        2.5455796353629166E10
5                        5                        7.512899896800826E10
6                        5                        -3.654970760233917E10
7                        5                        3.3230134158926723E10
8                        5                        -1.5049879600963192E10
9                        5                        -4.785001719986239E10
10                       5                        8.599931200550392E9
11                       5                        -9.043687650498798E10
12                       5                        8.94392844857241E9
13                       5                        -1.8610251117991047E10
14                       5                        8.599931200550392E9
15                       5                        3.723770209838322E10
16                       5                        2.0639834881320977E9
1                        6                        2.0639834881320992E9
2                        6                        3.72377020983832E10
3                        6                        8.943928448572409E9
4                        6                        -9.043687650498796E10
5                        6                        -3.654970760233917E10
6                        6                        7.512899896800826E10
7                        6                        -1.5049879600963188E10
8                        6                        3.3230134158926723E10
9                        6                        8.599931200550392E9
10                       6                        -1.8610251117991055E10
11                       6                        2.545579635362917E10
12                       6                        -1.6477468180254562E10
13                       6                        8.599931200550394E9
14                       6                        -4.78500171998624E10
15                       6                        -2.0639834881320925E9
16                       6                        2.7777777777777775E10
1                        7                        3.72377020983832E10
2                        7                        2.0639834881321006E9
3                        7                        -1.8610251117991055E10
4                        7                        8.59993120055039E9
5                        7                        3.3230134158926723E10
6                        7                        -1.504987960096319E10
7                        7                        7.512899896800824E10
8                        7                        -3.654970760233918E10
9                        7                        -9.043687650498795E10
10                       7                        8.943928448572409E9
11                       7                        -4.785001719986239E10
12                       7                        8.599931200550396E9
13                       7                        -1.6477468180254559E10
14                       7                        2.5455796353629177E10
15                       7                        2.7777777777777767E10
