% Model:              Untitled.mph
% Version:            COMSOL 6.0.0.318
% Date:               Jul 26 2023, 17:27
% Table:              表格 2 - 系统矩阵 2
% 行                      列                        值
1                        1                        89.99999999999994
3                        1                        -89.99999999999986
5                        1                        29.99999999999997
7                        1                        29.99999999999997
9                        1                        -89.99999999999986
11                       1                        -119.99999999999987
13                       1                        -119.99999999999991
15                       1                        44.99999999999998
2                        2                        89.99999999999994
4                        2                        -89.99999999999986
6                        2                        29.99999999999997
8                        2                        29.99999999999997
10                       2                        -89.99999999999986
12                       2                        -119.99999999999987
14                       2                        -119.99999999999991
16                       2                        44.99999999999998
1                        3                        -89.99999999999986
3                        3                        480
5                        3                        -89.99999999999996
7                        3                        -119.99999999999994
9                        3                        299.99999999999994
11                       3                        299.99999999999994
13                       3                        239.99999999999991
15                       3                        -119.99999999999999
2                        4                        -89.99999999999986
4                        4                        480
6                        4                        -89.99999999999996
8                        4                        -119.99999999999994
10                       4                        299.99999999999994
12                       4                        299.99999999999994
14                       4                        239.99999999999991
16                       4                        -119.99999999999999
1                        5                        29.99999999999997
3                        5                        -89.99999999999996
5                        5                        89.99999999999999
7                        5                        44.999999999999986
9                        5                        -119.99999999999996
11                       5                        -89.99999999999997
13                       5                        -119.99999999999996
15                       5                        29.999999999999982
2                        6                        29.99999999999997
4                        6                        -89.99999999999996
6                        6                        89.99999999999999
8                        6                        44.999999999999986
10                       6                        -119.99999999999996
12                       6                        -89.99999999999997
14                       6                        -119.99999999999996
16                       6                        29.999999999999982
1                        7                        29.99999999999997
3                        7                        -119.99999999999994
5                        7                        44.999999999999986
7                        7                        89.99999999999999
9                        7                        -89.99999999999996
11                       7                        -119.99999999999997
13                       7                        -89.99999999999997
15                       7                        29.999999999999975
2                        8                        29.99999999999997
4                        8                        -119.99999999999994
6                        8                        44.999999999999986
8                        8                        89.99999999999999
10                       8                        -89.99999999999996
12                       8                        -119.99999999999997
14                       8                        -89.99999999999997
16                       8                        29.999999999999975
1                        9                        -89.99999999999986
3                        9                        299.99999999999994
5                        9                        -119.99999999999996
7                        9                        -89.99999999999996
9                        9                        479.9999999999999
11                       9                        239.99999999999994
13                       9                        299.9999999999999
15                       9                        -119.99999999999997
2                        10                       -89.99999999999986
4                        10                       299.99999999999994
6                        10                       -119.99999999999996
8                        10                       -89.99999999999996
10                       10                       479.9999999999999
12                       10                       239.99999999999994
14                       10                       299.9999999999999
16                       10                       -119.99999999999997
1                        11                       -119.99999999999987
3                        11                       299.99999999999994
5                        11                       -89.99999999999997
7                        11                       -119.99999999999997
9                        11                       239.99999999999994
11                       11                       480.00000000000006
13                       11                       299.99999999999994
15                       11                       -89.99999999999997
2                        12                       -119.99999999999987
4                        12                       299.99999999999994
6                        12                       -89.99999999999997
8                        12                       -119.99999999999997
10                       12                       239.99999999999994
12                       12                       480.00000000000006
14                       12                       299.99999999999994
16                       12                       -89.99999999999997
1                        13                       -119.99999999999991
3                        13                       239.99999999999991
5                        13                       -119.99999999999996
7                        13                       -89.99999999999997
9                        13                       299.9999999999999
11                       13                       299.99999999999994
13                       13                       480
15                       13                       -89.99999999999996
2                        14                       -119.99999999999991
4                        14                       239.99999999999991
6                        14                       -119.99999999999996
8                        14                       -89.99999999999997
10                       14                       299.9999999999999
12                       14                       299.99999999999994
14                       14                       480
16                       14                       -89.99999999999996
1                        15                       44.99999999999998
3                        15                       -119.99999999999999
5                        15                       29.999999999999982
7                        15                       29.999999999999975
9                        15                       -119.99999999999997
11                       15                       -89.99999999999997
13                       15                       -89.99999999999996
15                       15                       89.99999999999997
2                        16                       44.99999999999998
4                        16                       -119.99999999999999
6                        16                       29.999999999999982
8                        16                       29.999999999999975
10                       16                       -119.99999999999997
12                       16                       -89.99999999999997
14                       16                       -89.99999999999996
16                       16                       89.99999999999997
